id,Neighbourhood Cleansed
0,Watergraafsmeer
1,Gaasperdam - Driemond
2,Westerpark
3,Centrum-West
4,Centrum-Oost
5,Oud-Oost
6,Noord-West
7,Oud-Noord
8,Bijlmer-Centrum
9,De Pijp - Rivierenbuurt
10,Rixdorf
11,Halensee
12,Karl-Marx-Allee-Süd
13,Sant Antoni
14,el Poble Sec
15,la Sagrada Família
16,la Marina de Port
17,el Clot
18,la Font de la Guatlla
19,Hostafrancs
20,la Bordeta
21,Sants - Badal
22,Sant Gervasi - Galvany
23,la Salut
24,Sant Gervasi - la Bonanova
25,la Vila Olímpica del Poblenou
26,el Putxet i el Farró
27,el Coll
28,Vallcarca i els Penitents
29,el Raval
30,De Baarsjes - Oud-West
31,Bijlmer-Oost
32,Noord-Oost
33,Oostelijk Havengebied - Indische Buurt
34,IJburg - Zeeburgereiland
35,Blankenfelde/Niederschönhausen
36,Helmholtzplatz
37,Wiesbadener Straße
38,Nord 1
39,Frankfurter Allee Nord
40,el Camp de l'Arpa del Clot
41,Diagonal Mar i el Front Marítim del Poblenou
42,el Besòs i el Maresme
43,Provençals del Poblenou
44,el Poblenou
45,Horta
46,les Roquetes
47,la Prosperitat
48,Sant Andreu
49,la Sagrera
50,Navas
51,el Guinardó
52,el Carmel
53,Porta
54,el Turó de la Peira
55,Alexanderplatz
56,Brunnenstr. Süd
57,nördliche Luisenstadt
58,Moabit Ost
59,Parkviertel
60,Tempelhofer Vorstadt
61,Südliche Friedrichstadt
62,Weißensee
63,Mierendorffplatz
64,Pankow Zentrum
65,Pankow Süd
66,südliche Luisenstadt
67,Karl-Marx-Allee-Nord
68,Prenzlauer Berg Süd
69,Heerstrasse
70,Schloß Charlottenburg
71,Volkspark Wilmersdorf
72,Schloßstr.
73,Albrechtstr.
74,Teltower Damm
75,Drakestr.
76,Lichtenrade
77,Zehlendorf  Nord
78,Friedenau
79,Neue Kantstraße
80,Düsseldorfer Straße
81,ΠΑΓΚΡΑΤΙ
82,ΠΑΤΗΣΙΑ
83,ΠΕΔΙΟ ΑΡΕΩΣ
84,ΠΕΤΡΑΛΩΝΑ
85,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
86,ΡΙΖΟΥΠΟΛΗ
87,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
88,ΝΕΟΣ ΚΟΣΜΟΣ
89,ΚΥΨΕΛΗ
90,ΛΥΚΑΒΗΤΤΟΣ
91,Zuid
92,Buitenveldert - Zuidas
93,ΚΟΛΩΝΑΚΙ
94,ΚΟΛΩΝΟΣ
95,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
96,Haringrode
97,Brederode
98,Centraal Station
99,Harmonie
100,Eilandje
101,Kiel
102,Stadspark
103,Universiteitsbuurt
104,Geuzenveld - Slotermeer
105,Slotervaart
106,Osdorp
107,De Aker - Nieuw Sloten
108,Bos en Lommer
109,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ
110,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
111,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ
112,ΑΚΡΟΠΟΛΗ
113,ΑΜΠΕΛΟΚΗΠΟΙ
114,ΑΝΩ ΚΥΨΕΛΗ
115,ΑΝΩ ΠΑΤΗΣΙΑ
116,ΒΟΤΑΝΙΚΟΣ
117,ΓΚΑΖΙ
118,Oud - Berchem
119,Borgerhout Intra Muros Zuid
120,Zurenborg
121,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
122,ΘΗΣΕΙΟ
123,ΓΟΥΒΑ
124,ΓΟΥΔΙ
125,ΕΛΛΗΝΟΡΩΣΩΝ
126,ΝΙΡΒΑΝΑ
127,Theaterbuurt-Meir
128,Historisch Centrum
129,ΙΛΙΣΙΑ
130,ΚΕΡΑΜΕΙΚΟΣ
131,ΣΤΑΔΙΟ
132,West 4
133,Blankenburg/Heinersdorf/Märchenland
134,Prenzlauer Berg Nordwest
135,Prenzlauer Berg Nord
136,Charlottenburg Nord
137,Buchholz
138,Prenzlauer Berg Ost
139,Prenzlauer Berg Südwest
140,Reuterstraße
141,Neuköllner Mitte/Zentrum
142,Köllnische Heide
143,Köpenick-Süd
144,Sant Martí de Provençals
145,la Verneda i la Pau
146,"Sant Pere, Santa Caterina i la Ribera"
147,el Fort Pienc
148,les Corts
149,la Maternitat i Sant Ramon
150,el Baix Guinardó
151,Pedralbes
152,Sarrià
153,el Parc i la Llacuna del Poblenou
154,les Tres Torres
155,la Vila de Gràcia
156,Moabit West
157,Sants
158,la Teixonera
159,Sant Genís dels Agudells
160,Vilapicina i la Torre Llobeta
161,el Camp d'en Grassot i Gràcia Nova
162,Can Baró
163,Wedding Zentrum
164,el Barri Gòtic
165,la Dreta de l'Eixample
166,l'Antiga Esquerra de l'Eixample
167,la Nova Esquerra de l'Eixample
168,la Barceloneta
169,Etterbeek
170,Evere
171,Forest
172,Ganshoren
173,Saint-Gilles
174,Anderlecht
175,Auderghem
176,Bruxelles
177,Ixelles
178,Jette
179,Koekelberg
180,Molenbeek-Saint-Jean
181,Alt  Treptow
182,Plänterwald
183,Baumschulenweg
184,Oberschöneweide
185,Brunsbütteler Damm
186,Zehlendorf  Südwest
187,Barstraße
188,Köpenick-Nord
189,Rahnsdorf/Hessenwinkel
190,Fennpfuhl
191,Friedrichsfelde Süd
192,Alt-Hohenschönhausen Süd
193,Alt-Lichtenberg
194,Frankfurter Allee Süd
195,Chinatown
196,North End
197,Roxbury
198,South End
199,Neu Lichtenberg
200,Kurfürstendamm
201,Otto-Suhr-Allee
202,West Town
203,Austin
204,Near West Side
205,Uptown
206,Near South Side
207,Near North Side
208,Schaerbeek
209,Uccle
210,Woluwe-Saint-Lambert
211,Loop
212,Woluwe-Saint-Pierre
213,Logan Square
214,Beacon Hill
215,Downtown
216,Fenway
217,Brighton
218,West Roxbury
219,Hyde Park
220,Dorchester
221,South Boston Waterfront
222,South Boston
223,Allston
224,Back Bay
225,East Boston
226,Charlestown
227,Roslindale
228,Jamaica Plain
229,Mission Hill
230,Schöneberg-Süd
231,Tempelhof
232,Kantstraße
233,Frankfurter Allee Süd FK
234,Schillerpromenade
235,Mariendorf
236,Adlershof
237,Mahlsdorf
238,Ost 1
239,Ost 2
240,Regierungsviertel
241,Brunnenstr. Nord
242,Schöneberg-Nord
243,Rummelsburger Bucht
244,Westend
245,Osloer Straße
246,Tiergarten Süd
247,sterbro
248,Nrrebro
249,Indre By
250,Vesterbro-Kongens Enghave
251,Amager Vest
252,Southwark
253,Lambeth
254,South Leith
255,Easter Road and Hawkhill Avenue
256,Leith (Albert Street)
257,Hillside and Calton Hill
258,Commune de Genève
259,Plan-les-Ouates
260,Carouge
261,Brent
262,Barnet
263,Waltham Forest
264,Redbridge
265,Sutton
266,Enfield
267,South Pasadena
268,Studio City
269,Sun Valley
270,Van Nuys
271,San Pedro
272,Vermont Square
273,Santa Monica
274,Rowland Heights
275,San Gabriel
276,Sherman Oaks
277,Silver Lake
278,Pico-Robertson
279,Pasadena
280,Redondo Beach
281,Reseda
282,Rosemead
283,Sawtelle
284,Pico Rivera
285,Porter Ranch
286,Rancho Palos Verdes
