id,City
0,Amsterdam
1,Amsterdam Zuid-Oost
2,Amsterdam-Zuidoost
3,Berlin
4,Barcelona
5,barcelona
6,Athina
7,Αθήνα
8,Athens
9,Antwerpen
10,Antwerp
11,Барселона
12,L'Hospitalet de Llobregat
13,"Barcelona, Catalunya, ES"
14,Etterbeek
15,Evere
16,Forest
17,Ganshoren
18,Saint-Gilles
19,Bruxelles
20,Brussels
21,Anderlecht
22,Auderghem
23,Brussel
24,Sint-Jans-Molenbeek
25,Uccle
26,City of Brussels
27,Ville de Bruxelles
28,Ixelles
29,Jette
30,Koekelberg
31,Boston
32,Chicago
33,Oak Park
34,Schaerbeek
35,Woluwe-Saint-Lambert
36,Woluwé-Saint-Lambert
37,Woluwe-Saint-Pierre
38,Somerville
39,København
40,Copenhagen
41,Hellerup
42,København K
43,Frederiksberg
44,København N
45,London
46,Camberwell
47,London Borough of Southwark
48,Greater London
49,Waterloo
50,Edinburgh
51,Genève
52,Geneva
53,Carouge
54,Plan-les-Ouates
55,Barnet
56,New Barnet
57,Woodford
58,Chigwell
59,Sutton
60,Ilford
61,Edgware
62,South Pasadena
63,Los Angeles
64,Studio City
65,Los Angeles County
66,Santa Monica
67,Walnut
68,Rowland Heights
69,San Gabriel
70,Pasadena
71,Altadena
72,Lawndale
73,Redondo Beach
74,Rosemead
75,Pico Rivera
76,Palos Verdes Estates
77,Rush
78,Dublin
79,Santry
80,Churchtown
81,Lucan
82,Howth
83,Swords
84,Malahide
85,Ballinteer
86,Central
87,Hong Kong
88,Sheung Wan
89,Hong Kong Island
90,Vernier
91,Chêne-Bourg
92,Chêne-Bougeries
93,Onex
94,Jordan
95,"Hong Kong, Hong Kong"
96,Rathgar
97,Ballsbridge
98,Rathmines
99,Ringsend
100,Dublin 7
101,Dublín
102,Glasnevin
103,Dublin 2
104,Dublin 8
105,Sandymount
106,Drumcondra
107,Kimmage
108,Drimnagh
109,Dublin 1
110,Ranelagh
111,Cabra
112,Donaghmede
113,Edimburgo
114,Artane
115,Isleworth
116,Hounslow
117,Brentford
118,伦敦
119,Poplar
120,Azusa
121,Playa Del Rey
122,Arcadia
123,Avalon
124,london
125,West Hollywood
126,Beverly Hills
127,LONDON
128,Agoura Hills
129,Alhambra
130,Valley Village
131,Lewisham
132,Hampton
133,Richmond
134,Twickenham
135,Morden
136,Bromley
137,Teddington
138,Mong Kok
139,Mongkok
140,尖沙咀
141,香港香港
142,Mong kok
143,旺角
144,Yau Tsim Mong District
145,Tsim Sha Tsui
146,Beckenham
147,Orpington
148,Feltham
149,Kingston upon Thames
150,New Malden
151,South Croydon
152,Croydon
153,Thornton Heath
154,Purley
155,香港
156,Wan Chai
157,Hung Hom
158,Islands District
159,Causeway Bay
160,Wembley
161,Ealing
162,Greenford
163,Southall
164,Hayes
165,Ruislip
166,West Drayton
167,Northolt
168,Uxbridge
169,Harrow
170,Pinner
171,Stanmore
172,Romford
173,Frederiksberg C
174,København V
175,København Ø
176,Londra
177,Kensington
178,København NV
179,Copenhagen S
180,København S
181,Denver
182,Vanløse
183,Clontarf
184,Londres
185,Madrid
186,North Hollywood
187,Venice
188,Marina del Rey
189,Temple City
190,Topanga
191,Llucmajor
192,Cala Llombards
193,Alcúdia
194,Puerto de Alcudia
195,Port d'Alcúdia
196,Santanyí
197,Cala Figuera
198,Colònia de Sant Jordi
199,Ses Salines
200,Sa Ràpita
201,Campos
202,Illes Balears
